Instance,Terminal,Layer,X location,Y location,Voltage
_118_,VDD,Metal1,13.7020,57.1810,1.199821
_117_,VDD,Metal1,13.2220,49.6210,1.199969
_116_,VDD,Metal1,55.9420,34.5010,1.199605
_115_,VDD,Metal1,55.8970,26.9410,1.195411
_114_,VDD,Metal1,13.2220,41.0980,1.199883
_113_,VDD,Metal1,38.4110,26.8360,1.199833
_112_,VDD,Metal1,33.9720,34.3580,1.199861
_111_,VDD,Metal1,45.6110,26.0830,1.195568
_110_,VDD,Metal1,41.2550,34.3550,1.199799
_109_,VDD,Metal1,46.0910,48.7630,1.199703
_108_,VDD,Metal1,41.1720,48.8010,1.199794
_107_,VDD,Metal1,46.0910,49.5160,1.199703
_106_,VDD,Metal1,42.1320,49.4780,1.199776
_105_,VDD,Metal1,35.5080,57.0760,1.196619
_104_,VDD,Metal1,33.9720,49.4780,1.199801
_103_,VDD,Metal1,42.7310,57.0760,1.196591
_102_,VDD,Metal1,40.3450,49.4750,1.199794
_101_,VDD,Metal1,29.2910,34.3960,1.199861
_100_,VDD,Metal1,27.9470,41.2410,1.199579
_099_,VDD,Metal1,24.9480,26.0830,1.199833
_098_,VDD,Metal1,23.4120,41.9180,1.199795
_097_,VDD,Metal1,19.6680,26.8360,1.199949
_096_,VDD,Metal1,25.5470,41.2410,1.199641
_095_,VDD,Metal1,31.2110,63.8830,1.199890
_094_,VDD,Metal1,26.7720,49.4780,1.199867
_093_,VDD,Metal1,22.5480,57.0760,1.199095
_092_,VDD,Metal1,24.1070,48.8010,1.199907
_091_,VDD,Metal1,17.7480,56.3230,1.199821
_090_,VDD,Metal1,26.5070,48.8010,1.199868
_089_,VDD,Metal1,16.7880,48.7630,1.199969
_088_,VDD,Metal1,21.1450,48.8050,1.199910
_087_,VDD,Metal1,46.5710,41.2030,1.199342
_086_,VDD,Metal1,41.1720,41.2410,1.199342
_085_,VDD,Metal1,46.0910,26.8360,1.195568
_084_,VDD,Metal1,38.7720,34.3580,1.199801
_083_,VDD,Metal1,17.7480,34.3960,1.199942
_082_,VDD,Metal1,21.6250,41.9150,1.199795
_081_,VDD,Metal1,10.2300,41.8600,1.199883
_080_,VDD,Metal1,51.3670,41.9710,1.199327
_079_,VDD,Metal1,54.4800,41.9550,1.199324
_078_,VDD,Metal1,51.6900,48.8600,1.199658
_077_,VDD,Metal1,32.4900,48.8600,1.199812
_076_,VDD,Metal1,47.7490,56.3290,1.196567
_075_,VDD,Metal1,29.6100,49.4200,1.199843
_074_,VDD,Metal1,28.3200,48.6460,1.199847
_073_,VDD,Metal1,25.1890,56.3290,1.199095
_072_,VDD,Metal1,52.1700,41.3000,1.199327
_071_,VDD,Metal1,32.4900,41.8600,1.199404
_070_,VDD,Metal1,48.7090,33.6490,1.199605
_069_,VDD,Metal1,32.9700,41.3000,1.199404
_068_,VDD,Metal1,27.9650,41.8850,1.199579
_067_,VDD,Metal1,27.1090,26.8310,1.199834
_066_,VDD,Metal1,36.6300,34.3000,1.199823
_065_,VDD,Metal1,38.4000,41.0860,1.199342
_064_,VDD,Metal1,32.0100,49.4200,1.199812
